timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1723226400,Aug 09 2024 - 6:00pm,complete,N/A,Groningen,NAC Breda,Marc Nagtegaal,1,0.00,0.00,1.77,0.62,4,1,5,3,3,0,"8,25,31,68","48",8,1,1,0,3,1,0,1,2,2,18,8,10,4,5,4,7,7,69,31,0.00,0.00,1.65,0.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.89,3.69,1.16,1.41,2.25,3.92,1.53,2.38,Euroborg (Groningen)
1723300200,Aug 10 2024 - 2:30pm,complete,N/A,Feyenoord,Willem II,Dennis Higler,1,0.00,0.00,2.00,0.92,1,1,2,1,1,0,"12","82",14,3,2,0,4,0,0,2,0,4,23,3,9,2,9,0,8,21,71,29,0.00,0.00,2.23,0.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.08,11.41,20.68,1.09,1.40,1.95,3.10,2.25,1.57,Stadion Feijenoord (Rotterdam)
1723308300,Aug 10 2024 - 4:45pm,complete,N/A,NEC,Twente,Allard Lindhout,1,0.00,0.00,1.23,1.23,1,2,3,2,1,1,"28","8,54",7,5,0,0,0,0,0,0,0,0,14,16,3,6,5,8,6,5,51,49,0.00,0.00,1.11,1.63,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.54,3.66,1.98,1.21,1.65,2.20,4.87,1.62,2.20,Goffertstadion (Nijmegen)
1723312800,Aug 10 2024 - 6:00pm,complete,N/A,Almere City,AZ,Martin van den Kerkhof,1,0.00,0.00,0.62,1.69,0,1,1,1,0,1,"","4",2,8,1,2,2,1,2,1,1,2,9,10,3,5,3,5,13,11,44,56,0.00,0.00,0.96,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.86,4.01,1.63,1.18,1.67,2.25,4.65,1.80,1.95,Yanmar Stadion (Almere)
1723316400,Aug 10 2024 - 7:00pm,complete,N/A,PSV,RKC Waalwijk,Joey Kooij,1,0.00,0.00,2.54,0.50,5,1,6,3,3,0,"9,28,37,72,79","77",7,3,0,0,0,0,0,0,0,0,22,10,13,5,7,4,4,8,77,23,0.00,0.00,2.85,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.10,10.49,16.41,1.04,1.25,1.65,2.48,2.10,1.67,Philips Stadion (Eindhoven)
1723371300,Aug 11 2024 - 10:15am,complete,N/A,Sparta Rotterdam,Heracles,Sander van der Eijk,1,0.00,0.00,0.92,0.69,0,0,0,0,0,0,"","",3,4,1,0,1,0,1,0,1,0,10,11,2,3,6,5,14,12,68,32,0.00,0.00,1.08,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,4.60,6.00,1.16,1.53,2.25,3.92,1.62,2.20,Sparta-Stadion Het Kasteel (Rotterdam)
1723379400,Aug 11 2024 - 12:30pm,complete,N/A,Utrecht,PEC Zwolle,Jannick van der Laan,1,0.00,0.00,1.54,0.69,1,0,1,1,1,0,"16","",2,1,0,0,3,0,0,0,1,2,10,6,3,2,3,3,10,18,50,50,0.00,0.00,1.07,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.45,4.70,6.80,1.16,1.53,2.40,4.25,1.75,2.00,Stadion Galgenwaard (Utrecht)
1723379400,Aug 11 2024 - 12:30pm,complete,N/A,Go Ahead Eagles,Fortuna Sittard,Alex Bos,1,0.00,0.00,2.14,1.00,0,2,2,0,0,0,"","57,73",6,3,1,0,1,0,0,1,1,0,19,14,5,5,9,3,10,13,65,35,0.00,0.00,1.73,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.01,3.50,3.70,1.25,1.86,2.93,5.50,1.70,2.05,De Adelaarshorst (Deventer)
1723387500,Aug 11 2024 - 2:45pm,complete,N/A,Ajax,Heerenveen,Bas Nijhuis,1,0.00,0.00,2.69,0.54,1,0,1,1,1,0,"45","",5,2,0,0,2,0,0,0,1,1,13,8,5,3,6,3,8,10,48,52,0.00,0.00,1.45,0.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.52,8.00,1.12,1.41,1.91,3.35,1.53,2.38,Johan Cruijff Arena (Amsterdam)
1723831200,Aug 16 2024 - 6:00pm,complete,N/A,Fortuna Sittard,Almere City,Joey Kooij,2,0.00,0.00,1.50,0.54,3,0,3,1,1,0,"24,68,73","",9,3,2,0,3,0,0,2,0,3,21,9,10,5,6,2,8,12,52,48,0.00,0.00,2.19,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,3.50,4.10,1.25,1.76,3.00,5.50,1.80,1.95,Fortuna Sittard Stadion (Sittard)
1723905000,Aug 17 2024 - 2:30pm,complete,N/A,Heerenveen,Utrecht,Danny Makkelie,2,0.00,0.00,1.85,2.23,1,1,2,1,0,1,"82","3",6,4,4,0,2,0,0,4,0,2,24,7,8,5,13,2,16,8,65,35,0.00,0.00,2.40,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.75,2.50,1.18,1.55,2.00,4.00,1.50,2.50,Abe Lenstra Stadion (Heerenveen)
1723913100,Aug 17 2024 - 4:45pm,complete,N/A,Twente,Sparta Rotterdam,Jannick van der Laan,2,0.00,0.00,2.31,1.00,1,1,2,0,0,0,"75","90'1",5,4,1,0,0,0,1,0,0,0,23,12,4,4,11,7,7,8,59,41,0.00,0.00,1.72,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,5.00,7.00,1.13,1.56,2.30,4.10,1.70,2.05,De Grolsch Veste (Enschede)
1723917600,Aug 17 2024 - 6:00pm,complete,N/A,AZ,NEC,Edwin van de Graaf,2,0.00,0.00,1.83,1.00,1,0,1,1,1,0,"16","",4,6,2,0,2,0,1,1,1,1,17,9,7,2,5,6,10,11,56,44,0.00,0.00,1.82,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.48,4.80,6.00,1.18,1.60,2.30,4.45,1.72,2.10,AFAS Stadion (Alkmaar)
1723921200,Aug 17 2024 - 7:00pm,complete,N/A,RKC Waalwijk,Groningen,Robin Hensgens,2,0.00,0.00,0.85,0.67,1,2,3,1,0,1,"89","11,77",7,1,2,1,2,0,0,3,0,2,14,16,8,10,5,3,12,7,57,43,0.00,0.00,1.81,1.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.75,3.40,1.15,1.56,2.20,3.60,1.44,2.63,Mandemakers Stadion (Waalwijk)
1723976100,Aug 18 2024 - 10:15am,complete,N/A,Heracles,PSV,Martin van den Kerkhof,2,0.00,0.00,1.46,1.92,1,3,4,1,1,0,"5","52,59,90",2,12,1,0,0,0,0,1,0,0,8,33,4,9,1,10,12,7,25,75,0.00,0.00,0.78,2.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,10.43,8.34,1.11,1.05,1.23,1.66,2.20,1.67,2.10,Asito Stadion (Almelo)
1723984200,Aug 18 2024 - 12:30pm,complete,N/A,PEC Zwolle,Feyenoord,Bas Nijhuis,2,0.00,0.00,1.31,1.77,1,5,6,1,0,1,"87","4,46,51,68,71",1,2,1,0,1,0,0,1,0,1,8,17,3,9,3,4,10,8,42,58,0.00,0.00,0.70,1.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.80,6.00,1.25,1.06,1.29,1.77,2.64,1.62,2.20,MAC³PARK Stadion (Zwolle)
1723984200,Aug 18 2024 - 12:30pm,complete,N/A,Willem II,Go Ahead Eagles,Ingmar Oostrom,2,0.00,0.00,0.92,1.17,2,0,2,2,2,0,"21,28","",4,3,2,0,2,0,0,2,0,2,9,12,4,2,3,9,12,10,47,53,0.00,0.00,0.77,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.94,3.50,2.20,1.22,1.72,2.30,5.05,1.62,2.20,Koning Willem II Stadion (Tilburg)
1723992300,Aug 18 2024 - 2:45pm,complete,N/A,NAC Breda,Ajax,Dennis Higler,2,0.00,0.00,1.62,2.23,2,1,3,0,0,0,"58,90'1","63",1,8,0,0,1,0,0,0,0,1,8,17,4,6,3,4,15,14,25,75,0.00,0.00,0.79,1.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.09,5.96,1.24,1.06,1.28,1.86,2.64,1.62,2.20,Rat Verlegh Stadion (Breda)
